cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
13-1314-00-1116421-0-E,Gobierno Autonomo Municipal De Villa Tunari,Obras,CD,Bc 07-2013 Construccion 8 Aulas Cristal Mayu - Central Espiritu Santo - Distrito Nâº 10,Contratado,False,,2021-03-01,Abel Castellon Arnez (Telf: 44136521 ),2013-07-01,Cochabamba,D.S. 2511 Programa Bolivia Cambia
15-1404-00-1112122-0-E,Gobierno Autonomo Municipal De Challapata,Obras,CM,Refaccion Y Mantenimiento U.E. Huancane,Contratado,False,,2021-03-01,Nancy Ayde Chungara Chaca (Telf: 5572250),2015-10-23,Oruro,NB-SABS (D.S.0181)
18-1211-00-1115908-0-E,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Obras,CD,Construccion De Reservorio Con Geomembrana-Cala Cala,Contratado,False,,2021-03-01,Jose Luis Condori Quiñonez (Telf: 73562300   72393235),2018-09-17,La Paz,NB-SABS (D.S.0181)
18-1211-00-1116172-0-E,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Obras,CD,Const. Cancha Polifuncional Deportivo Urbanizacion 16 De Julio-Sica Sica,Contratado,False,,2021-03-01,Jose Luis Condori Quiñonez (Telf: 73562300   72393235),2018-09-12,La Paz,NB-SABS (D.S.0181)
18-1211-00-1116186-0-E,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Obras,CD,Constr. Enmallado Cancha Polifuncional U.E. Jose Antonio De Sucre-Romer Kota,Contratado,False,,2021-03-01,Jose Luis Condori Quiñonez (Telf: 73562300   72393235),2018-09-10,La Paz,NB-SABS (D.S.0181)
18-1211-00-1116203-0-E,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Obras,CD,Const. Enlosetado Capunuta (Calle Cochabamba),Contratado,False,,2021-03-01,Jose Luis Condori Quiñonez (Telf: 73562300   72393235),2018-10-04,La Paz,NB-SABS (D.S.0181)
18-1412-00-1116166-0-E,Gobierno Autonomo Municipal De Santiago De Huari,Obras,CM,Mantenimiento De Infraestructura Unidades Educativas Priorizadas Provincia (Para El Mantenimiento De La Unidad Educativa Villa Verde Del Municipio),Contratado,False,,2021-03-01,Norka Jhanett Escobar Huarachi (Telf: 67247734),2018-11-30,Oruro,NB-SABS (D.S.0181)
18-1414-00-1107342-0-E,Gobierno Autonomo Municipal De Corque,Bienes,CM,Const. Sistema De Agua Potable Antacahua (Adquisicion De Tuberias Y Accesorios),Contratado,False,,2021-03-01,Elias Yavi Cahuana (Telf: 72467459),2018-08-28,Oruro,NB-SABS (D.S.0181)
18-1414-00-1116356-0-E,Gobierno Autonomo Municipal De Corque,Bienes,CM,Prestación De Servicio De Salud Integral ( Adquisición De Complemento Nutricional Para El Adulto Mayor - Carmelo 900 G),Contratado,False,,2021-03-01,Elias Yavi Cahuana (Telf: 72467459),2018-03-24,Oruro,NB-SABS (D.S.0181)
18-1414-00-1116402-0-E,Gobierno Autonomo Municipal De Corque,Obras,CD,Const. Tinglado U.E. Simón Bolívar - San Jose De Kala,Contratado,False,,2021-03-01,Elias Yavi Cahuana (Telf: 72467459),2018-03-01,Oruro,NB-SABS (D.S.0181)
