cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
19-0046-45-943454-0-E,Escuela De Salud La Paz,Bienes,CM,Compra De Equipo Medico Y Laboratorio Para El Ã?ÂRea Tecnica De La Sala De Simulacion Cl_­Nica De La Escuela Nacional De Salud.,Contratado,False,,2019-05-01,Ricardo Garcia Quisbert (Telf: 2444225),2019-04-26,La Paz,NB-SABS (D.S.0181)
19-1311-00-944819-0-E,Gobierno Autonomo Municipal De Morochata,Bienes,EX,Fomento Actividades Deportivas Del Municipio (Adquisicion De Material Deportivo Y Recreativo),Contratado,False,,2019-05-01,Hugo Esteban Navia Villca (Telf: 4364786 - 44136523),2019-03-21,Cochabamba,NB-SABS (D.S.0181)
19-1401-00-944816-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,200 Pzas. Cordon Prefabricado Para Jardinera 15x60x20 Cm (Direccion De Obras Publicas - Mej. Jardineras Av. España-Entre Salamanca Y Toledo Alm-P-00610/19),Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-04-16,Oruro,NB-SABS (D.S.0181)
19-1401-00-944818-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,200 Pzas Cordon Prefabricado Para Jardinera 15x60x20 Cm (Direccion De Obras Publicas - Mej. Jardineras Centrales Av. España Entre Dehene Y Salamanca Alm-P-00611/19),Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-04-16,Oruro,NB-SABS (D.S.0181)
19-1401-00-944820-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"20 Pzas Repuesto Para Planta De Asfalto Brazo Mixturador Estriado Posicion Derecho, 20 Pzas. Perno De Arado, 20 Pzas.Volanda De Presion Acerada, 20 Pzas. Volanda Plana, 20 Pzas. Tuerco (Direccion Ejecutora De Asfalto Alm-P-00404/19)",Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-03-11,Oruro,NB-SABS (D.S.0181)
19-1401-00-944823-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"20 Pzas Repuesto Para Planta De Asfalto Brazo Mixturador Estriado Posicion Izquierdo, 20 Pzas. Perno De Arado, 20 Pzas.Volanda De Presion Acerada, 20 Pzas. Volanda Plana, 20 Pzas. Tuerca (Direccion Ejecutora De Asfalto Alm-P-00405/19)",Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-03-11,Oruro,NB-SABS (D.S.0181)
19-1401-00-944824-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"Rx Dental , Autoclave De 21 L , Destilador, Sellador, Equipo De Ultra Sonido Daby Atlante (Unidad De Salud-Centro De Salud Socamani Alm-P-00198/19)",Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-02-25,Oruro,NB-SABS (D.S.0181)
19-1401-00-944826-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"2 Repuestos Solera Superior, 2 Repuestos Solera Inferior (Direccion Ejecutora De Asfaltos - Repuestos Para Chancadora Modulo Evo 1 Alm-P-00248/19)",Contratado,False,,2019-05-01,Andres Angulo Rocha (Telf: 25251624),2019-03-01,Oruro,NB-SABS (D.S.0181)
19-1516-00-934855-1-2,Gobierno Autonomo Municipal De Toro Toro,Consultoria,OF,Auditoria Financiera Externa Gestión 2018,Contratado,False,2019-05-15,2019-05-01,Remberto Mitma Merida (Telf: 71730654),2019-05-17,Potosi,Otra Normativa especifica
19-1516-00-934900-1-2,Gobierno Autonomo Municipal De Toro Toro,Consultoria,OF,Auditoria Operativa Recursos Del Idh Gestión 2018,Contratado,False,2019-05-15,2019-05-01,Remberto Mitma Merida (Telf: 71730654),2019-05-17,Potosi,Otra Normativa especifica
19-1741-00-944822-1-1,Gobierno Autonomo Municipal De Comarapa,Obras,LP,"Mejoramieto Y Construccion Del Sistema De Microriego El Thapa, Pulquina Abajo Del Municipio De Comarapa",Adjudicado,False,2019-05-23,2019-05-01,Daniel  Ynturias Guzman  (Telf: 9462021),2019-05-28,Santa Cruz,NB-SABS (D.S.0181)
16-1402-00-944487-0-E,Gobierno Autonomo Municipal De Caracollo,Consultoria,CM,Const. Sistema De Agua Potable Vilacara-Elaboracion De Carpeta De Preinversion,Contratado,False,,2019-05-02,Luis Fernando Romero Mendoza (Telf: 25290005),2016-10-04,Oruro,NB-SABS (D.S.0181)
18-0417-09-943999-0-E,Caja Nacional De Salud - Regional La Paz,Servicios Generales,CM,1 Svc. Radioterapia Pac. Julia Canqui Chappi,Contratado,False,,2019-05-02,Manuel Alejandro Almendro Lazarte (Telf: 2-901777),2018-10-09,La Paz,NB-SABS (D.S.0181)
18-0417-09-944076-0-E,Caja Nacional De Salud - Regional La Paz,Servicios Generales,CM,1 Svc. Radioterapia Pac. Fermina Saca Mamani,Contratado,False,,2019-05-02,Manuel Alejandro Almendro Lazarte (Telf: 2-901777),2018-12-20,La Paz,NB-SABS (D.S.0181)
18-0513-00-945056-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Obras,OF,"Obras Civiles Y Mecanicas Construccion Red Secundaria Ampliaciones Municipios De SantivAñez, Capinota Y Sipe Sipe",Contratado,False,,2019-05-02,Sandra Boado Quiroga Rojas (Telf: 2358802),2019-01-25,La Paz,Otra Normativa especifica
18-0513-00-945145-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Obras,OF,"Obras Civiles Y Mecanicas Construccion Red Secundaria Ampliaciones Municipios De Cliza, Toco, Tolata, Tarata Y Arbieto",Contratado,False,,2019-05-02,Sandra Boado Quiroga Rojas (Telf: 2358802),2019-02-07,La Paz,Otra Normativa especifica
18-0513-00-945182-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Obras,OF,Obras Civiles Y Mecanicas Construccion Red Secundaria Ampliaciones Municipio De Sacaba Distrito 6,Contratado,False,,2019-05-02,Sandra Boado Quiroga Rojas (Telf: 2358802),2019-01-29,La Paz,Otra Normativa especifica
18-0907-00-943258-0-E,Gobierno Autónomo Departamental De Santa Cruz,Bienes,CM,Adquisicion De Modulo Para Ventilador Para El Hospital De Ninos Dr. Mario Ortiz Suarez,Contratado,False,,2019-05-02,Lourdes Karina Ferrufino Montaño (Telf: 3636300/3-3332760 /3636256),2018-09-04,Santa Cruz,NB-SABS (D.S.0181)
18-0907-00-943270-0-E,Gobierno Autónomo Departamental De Santa Cruz,Bienes,CM,Adquisicion De Alcohol Al 96% Para El Hospital De Ninos Dr. Mario Ortiz Suarez Gestion 2018,Contratado,False,,2019-05-02,Lourdes Karina Ferrufino Montaño (Telf: 3636300/3-3332760 /3636256),2018-09-04,Santa Cruz,NB-SABS (D.S.0181)
18-1211-00-945194-0-E,Gobierno Autonomo Municipal De Sicasica (Villa Aroma),Obras,CD,Mejoramiento Urbano Konani (Constr. Enlosetado-Calle Baptista),Contratado,False,,2019-05-02,Jose Luis Condori Quiñonez (Telf: 73562300   72393235),2018-12-18,La Paz,NB-SABS (D.S.0181)
