cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
14-0015-19-629021-0-E,Secretaria De Coordinacion Del Conaltid,Servicios Generales,OF,Contratacion De Empresa Logistica Para La Atencion De Alimentacion Y Hospedaje,Contratado,False,,2016-04-01,Gregorio Wilson Espinoza Valencia (Telf: ),2014-08-13,La Paz,Otra Normativa especifica
14-0015-19-643747-0-E,Secretaria De Coordinacion Del Conaltid,Servicios Generales,OF,Contratacion De Una Empresa De Catering Para 10 Talleres Con Organizaciones Sociales Para Informar De Los Resultados De La Estrategia De Lucha Contra El Narcotrafico Para La Atención En Alimentación Y Equipos De Sonido Etc.,Contratado,False,,2016-04-01,Gregorio Wilson Espinoza Valencia (Telf: ),2014-08-12,La Paz,Otra Normativa especifica
14-0015-19-643863-0-E,Secretaria De Coordinacion Del Conaltid,Servicios Generales,OF,Contratación De Agencia De Viajes Para La Provisión De Pasajes Aéreos Nacionales,Contratado,False,,2016-04-01,Gregorio Wilson Espinoza Valencia (Telf: ),2014-08-18,La Paz,Otra Normativa especifica
15-0015-00-644044-0-E,Ministerio De Gobierno,Servicios Generales,CD,Arrendamiento De Inmueble Para Las Oficinas Distritales De Migración Y Recaudaciones En Sucre - Gestión 2016,Contratado,False,,2016-04-01,Lineth Claudia Sossa Aneyva (Telf: 2440466),2015-12-15,La Paz,NB-SABS (D.S.0181)
15-0418-35-644125-0-E,Caja Petrolera De Salud-Administacion Sub Zonal Potosi,Servicios Generales,CM,Servicio Especializado Recurrente Nefrologia Gestion 2016 Adm Sub Zonal Potosi,Contratado,False,,2016-04-01,Felix Pozo Portugal (Telf: 6225218),2015-12-09,Potosi,NB-SABS (D.S.0181)
15-0513-00-643851-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Servicios Generales,OF,Servicio De Transporte Fluvial Para El Abastecimiento De Glp Y Liquidos Por Rios De Los Departamentos De Beni Y Pando Gestion 2016,Contratado,False,,2016-04-01,Edwin Rolando Flores Casas (Telf: 2358802),2015-12-29,La Paz,Otra Normativa especifica
15-0513-00-644065-0-E,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Obras,OF,Contratación Directa Ordinaria Obras Civiles Para Instalación De Acometidas En La Ciudad De Villazon Fase 3,Contratado,False,,2016-04-01,Juan Pablo Herrera Velasco (Telf: 2358802),2015-12-09,La Paz,Otra Normativa especifica
15-0517-00-643981-0-E,Corporacion Minera De Bolivia - Comibol,Bienes,CD,Emc-572 Adquisicion De Madera Eucalipto,Contratado,False,,2016-04-01,Judith Teresa Arghata Chambi (Telf: 2682100 - 2682107-2901106),2015-12-01,La Paz,NB-SABS (D.S.0181)
15-0517-00-643991-0-E,Corporacion Minera De Bolivia - Comibol,Bienes,CD,Adquisicion De Accesorios De Barras Hq Para Perforacion A Diamantina Proyecto De Exploracion Y Prospeccion Quechisla,Contratado,False,,2016-04-01,Nestor Martinez Vasquez (Telf: 2682100 - 2682107-2901106),2015-12-22,La Paz,NB-SABS (D.S.0181)
15-0526-00-644001-0-E,Empresa Estatal De Televisión Bolivia Tv,Servicios Generales,CD,Servicio De Parqueo Para Los Vehiculos De La Empresa Estatal De Television Bolivia Tv Gestino 2016,Contratado,False,,2016-04-01,Marcelo Lascano Miranda (Telf: 2203404 ),2015-12-31,La Paz,NB-SABS (D.S.0181)
15-0587-00-643830-0-E,Empresa Estrategica Boliviana De Construccion Y Conservacion De Infraestructura Civil,Servicios Generales,CD,Servicio De Mano De Obra Para La Instalacion De Sistemas Electricos Para Velodromo Tarija,Contratado,False,,2016-04-01,Claudia Monica Torrez Alvarez (Telf: 2244624),2016-03-02,La Paz,NB-SABS (D.S.0181)
15-0951-00-644072-0-E,Banco Central De Bolivia - Bcb,Servicios Generales,OF,Servicio De Transporte De Divisas En Efectivo Hacia El Exterior,Contratado,False,,2016-04-01,Esperanza Mamani Mercado (Telf: 2409090),2015-06-17,La Paz,Otra Normativa especifica
15-1205-00-643826-0-E,Gobierno Autonomo Municipal De El Alto,Servicios Generales,EX,"Fortalecimiento Del Sistema Integrado De Transporte Municipal Bus Sariri, Localizacion: Distrital",Contratado,False,,2016-04-01,Miguel Mejia Ali (Telf: 2829272 - 2829414),2015-12-09,La Paz,NB-SABS (D.S.0181)
15-1205-00-644000-0-E,Gobierno Autonomo Municipal De El Alto,Obras,CD,Mej. Jardinera Av. Panoramica Av. Litoral Y C S/N L/Final Rosas Pampa,Contratado,False,,2016-04-01,Moices Quea Apaza (Telf: 2829272 - 2829414),2015-10-19,La Paz,NB-SABS (D.S.0181)
15-1306-00-643906-0-E,Gobierno Autonomo Municipal De Colcapirhua,Servicios Generales,CM,Conformacion De Plataforma Colcapirhua Calle Paraiso Otb California,Contratado,False,,2016-04-01,Alfredo Oscar Arandia Coca (Telf: 4269985),2015-12-17,Cochabamba,NB-SABS (D.S.0181)
