cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
22-1206-00-1390582-0-E,Gobierno Autonomo Municipal De Viacha,Obras,CD,"Mantenimiento De Escenarios Deportivos, Seccional (Mantenimiento Fronton Cbn)",Contratado,False,,2023-12-01,Cesar Chavez Condori (Telf: 2800006),,La Paz,NB-SABS (D.S.0181)
23-0015-00-1385808-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,Servicio De Limpieza Para La Distrital De Migración Santa Cruz-Gestión 2024,Vigente,True,2023-12-07,2023-12-01,Neyva Cautin Zurita (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
23-0015-00-1388873-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,Servicio De Courier A Nivel Nacional Para La D.G.S.C. Gestión 2024,Vigente,True,2023-12-07,2023-12-01,Neyva Cautin Zurita (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
23-0015-00-1391110-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,Servicio De Courier Para Biblioteca Y Archivo Y Administraciones Distritales Del Ministerio De Gobierno Gestión 2024,Vigente,True,2023-12-07,2023-12-01,Claudia Angela Chorolque Calle (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
23-0015-00-1391170-0-E,Ministerio De Gobierno,Bienes,EX,"Adquisicion De Municion Y Equipo Policial, Para El Grupo De Seguridad De La Policia Boliviana Del Banco Central De Bolivia",Contratado,False,,2023-12-01,Claudia Angela Chorolque Calle (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
23-0016-00-1317080-4-2,Ministerio De Educación,Consultoria,LP,Servicio De Consultoria: Estudio De Diseño Tecnico De Preinversion Para El Proyecto De Construccion Biblioteca Nacional Y Escuela Superior De Idiomas Extranjeros,Vigente,False,2024-01-08,2023-12-01,Evert Basilio Velarde Flores (Telf: 2442144   -   2441752),,La Paz,NB-SABS (D.S.0181)
23-0016-00-1390337-1-1,Ministerio De Educación,Bienes,CM,Adquisición De Juegos De Ajedrez Para Las Sedes Del Programa De Formación Especializada - Profe,Vigente,False,2023-12-06,2023-12-01,Evert Basilio Velarde Flores (Telf: 2442144   -   2441752),,La Paz,NB-SABS (D.S.0181)
23-0020-00-1391287-1-1,Ministerio De Defensa ,Servicios Generales,ANPE,Provisión De Alimentación (Almuerzo Y Cena) Para El Personal De Guardia Del Ministerio De Defensa E Intendencia Central De Las Ff.Aa. Gestion 2024,Vigente,True,2023-12-08,2023-12-01,Mirtha Thania Apacani Mamani (Telf: 2432525  int 4209),,La Paz,NB-SABS (D.S.0181)
23-0020-00-1391451-1-1,Ministerio De Defensa ,Servicios Generales,ANPE,Servicio De Fotocopias Para El Ministerio De Defensa Y Reparticiones Dependientes Gestion 2024,Vigente,True,2023-12-08,2023-12-01,Sergio Perez Campos (Telf: 2432525  int 4209),,La Paz,NB-SABS (D.S.0181)
23-0020-00-1391523-1-1,Ministerio De Defensa ,Bienes,ANPP,Adquisicion De Ropa Interior Corta Para El Personal De Tropa De Las Fuerzas Armadas,Vigente,True,2023-12-14,2023-12-01,Edgar Armando Mamani Gutiérrez (Telf: 2432525  int 4209),,La Paz,NB-SABS (D.S.0181)
23-0025-00-1391558-1-1,Ministerio De La Presidencia,Bienes,CM,Adquisicion De Material De Escritorio - Viceministerio De Coordinacion Y Gestion Gubernamental,Vigente,False,2023-12-06,2023-12-01,Gabriela Del Carmen Astorga Morales (Telf: 2184183),,La Paz,NB-SABS (D.S.0181)
23-0030-00-1391121-1-1,Ministerio De Justicia Y Transparencia Institucional,Servicios Generales,ANPE,Servicio Recurrente De Fotocopias Para El Ministerio De Justicia Y Transparencia Institucional Gestion 2024,Vigente,True,2023-12-08,2023-12-01,Monica Paredes Calle (Telf: 2313838 - 2158900),,La Paz,NB-SABS (D.S.0181)
23-0035-00-1391475-1-1,Ministerio De Economia Y Finanzas Publicas ,Servicios Generales,CM,G23-Dgaa-Ua-Servicio Recurrente De Mantenimiento Preventivo Y Correctivo De Ascensores Del Mefp En El Edificio De La Contraloria General Del Estado Para La Gestion 2024,Vigente,False,2023-12-06,2023-12-01,Jenny  Lovera (Telf: 2203434),,La Paz,NB-SABS (D.S.0181)
