cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
14-0578-00-472104-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Servicios Generales,CD,Transporte De Personal De Tripulacion  Cochabamaba Abril 2014,Contratado,False,,2014-05-01,Angela Andrea Mendez Rojas (Telf: 4140873),2014-05-01,Cochabamba,NB-SABS (D.S.0181)
14-0578-00-478547-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Servicios Generales,CD,Pago Por Concepto De Servicio De Aterrizaje Nacional E Internacional Correspondiente Al Mes De Mayo  2014,Contratado,False,,2014-05-01,Angela Andrea Mendez Rojas (Telf: 4140873),2014-05-01,Cochabamba,NB-SABS (D.S.0181)
14-1330-00-465179-1-1,Gobierno Autonomo Municipal De Tapacari,Obras,ANPP,Construccion Y Ampliacion S.A.P. Capital Tapacari,Contratado,False,2014-05-13,2014-05-01,Ronald Paco Limachi (Telf: 4431827),2014-05-14,Cochabamba,NB-SABS (D.S.0181)
14-1330-00-465186-1-1,Gobierno Autonomo Municipal De Tapacari,Bienes,ANPE,Funcionamiento Y Control Epidemiologico Sec. Salud - Compra De Llantas Para Los 10 Ambulancias Red Xii Tapacari,Contratado,False,2014-05-07,2014-05-01,Ronald Paco Limachi (Telf: 4431827),2014-05-07,Cochabamba,NB-SABS (D.S.0181)
14-1406-00-465195-1-1,Gobierno Autonomo Municipal De Huanuni (Villa Huanuni),Obras,ANPP,Construccion Calle Montecinos Conexion Zona Jalakeri,Anulado desde la convocatoria,False,2014-05-14,2014-05-01,Sofia Crispin Macias (Telf: 5520585),,Oruro,NB-SABS (D.S.0181)
14-1537-00-465176-1-1,Gobierno Autonomo Municipal De Villazon,Consultoria,ANPE,Supervisión Técnica Para La Construccion De La Unidad Educativa Marcelo Quiroga Santa Cruz Villazón,Contratado,False,2014-05-08,2014-05-01,Laura  Grover Flores  (Telf: 5972119),2014-05-09,Potosi,NB-SABS (D.S.0181)
14-0010-00-467466-0-E,Ministerio De Relaciones Exteriores ,Servicios Generales,CD,Servicio De Decoraciones Modelo G77,Contratado,False,,2014-05-02,Reynaldo Serrano Herrera (Telf: 2113175 int. 4120),2014-05-02,La Paz,Otra Normativa especifica
14-0010-00-467481-0-E,Ministerio De Relaciones Exteriores ,Servicios Generales,CD,Servicio De Fotocopia,Contratado,False,,2014-05-02,Reynaldo Serrano Herrera (Telf: 2113175 int. 4120),2014-05-02,La Paz,Otra Normativa especifica
14-0010-00-467488-0-E,Ministerio De Relaciones Exteriores ,Servicios Generales,CD,Servicio De Imprenta,Contratado,False,,2014-05-02,Reynaldo Serrano Herrera (Telf: 2113175 int. 4120),2014-05-02,La Paz,Otra Normativa especifica
14-0010-00-467491-0-E,Ministerio De Relaciones Exteriores ,Servicios Generales,CD,Servicio De Pasajes,Contratado,False,,2014-05-02,Reynaldo Serrano Herrera (Telf: 2113175 int. 4120),2014-05-02,La Paz,Otra Normativa especifica
