cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
08-0041-00-114777-2-1,Ministerio De Produccion Y Microempresa,Consultoria,ANPE,Coordinador Grupo Estrategico De Empresas Publicas,Contratado,No,2008-11-11,2008-11-01,Claudia Segurondo  Muiba  (Telf: 2124242),2008-11-24,La Paz,NB-SABS (29190)
08-0041-00-114779-2-1,Ministerio De Produccion Y Microempresa,Consultoria,ANPE,Consultoria Individual De Linea: Consultor Especialista En Diseño De Procesos Grupo Estrategico De Empresas Públicas,Contratado,No,2008-11-11,2008-11-01,Claudia Segurondo  Muiba  (Telf: 2124242),2008-11-24,La Paz,NB-SABS (29190)
08-0041-00-114783-2-1,Ministerio De Produccion Y Microempresa,Consultoria,ANPE,Consultoria Individual De Linea Consultor Legal Grupo Estrategico De Empresas Publicas,Contratado,No,2008-11-11,2008-11-01,Claudia Segurondo  Muiba  (Telf: 2124242),2008-11-24,La Paz,NB-SABS (29190)
08-0041-00-114784-2-1,Ministerio De Produccion Y Microempresa,Consultoria,ANPE,Consultoria Individual De Linea: Consultor Especialista En Diseño Organizacional Grupo Estrategico De Empresas Publicas,Desierto,No,2008-11-11,2008-11-01,Claudia Segurondo  Muiba  (Telf: 2124242),2008-12-26,La Paz,NB-SABS (29190)
08-1905-00-115186-2-1,Gobierno Municipal De Puerto Rico,Bienes muebles y de consumo,ANPP,Provision De Vehiculo Para Servicio Municipal De Caminos Vecinales Camioneta Doble Cabina,Contratado,No,2008-11-14,2008-11-02,Guido Saucedo  (Telf: 38423584),2008-11-24,Pando,NB-SABS (29190)
08-1276-00-117509-1-1,Gobierno Municipal De Mapiri,Supervision Tecnica,ANPE,"Supervision De La Obra Y Descom Fase Ii Y Iii ""Construccion Sistema De Alcantarillado Sanitario Mapiri""",Desierto,No,2008-11-11,2008-11-03,Magdalena Alanoca Condori (Telf: 2331594),2008-12-16,La Paz,NB-SABS (29190)
08-1276-00-117510-1-1,Gobierno Municipal De Mapiri,Consultoria,ANPP,"Servicio De Consultoria De Desarrollo Comunitario Fases Ii Y Iii, Y Fortalecimiento Institucional De La Epsa Del Proyecto ""Construccion Del Sistema De Alcantarillado Sanitario Mapiri""",Desierto,No,2008-11-18,2008-11-03,Magdalena Alanoca Condori (Telf: 2331594),2008-11-18,La Paz,NB-SABS (29190)
08-1276-00-117512-1-1,Gobierno Municipal De Mapiri,Obras,LP,Construccion Alcantarillado Sanitario Mapiri,Contratado,No,2008-11-25,2008-11-03,Magdalena Alanoca Condori (Telf: 2331594),2008-12-02,La Paz,NB-SABS (29190)
08-1334-00-117503-1-1,Gobierno Municipal De Chimore,Obras,ANPP,Construcción Del Proyecto: Prado Manzanitos,Contratado,No,2008-11-17,2008-11-03,Victor Blanco Duran (Telf: 44136218),2008-11-18,Cochabamba,NB-SABS (29190)
08-1406-00-113717-2-1,Gobierno Municipal De Huanuni (Villa Huanuni),Consultoria,LP,Enlosetado Puente Av. Ejercito (Puente Benigno Terrazas Tramo - Col. Bolivia),Desierto,No,2008-11-14,2008-11-03,Elizabeth L. Yugar Mendez (Telf: 5520585),2008-11-18,Oruro,NB-SABS (29190)
08-1406-00-115779-2-1,Gobierno Municipal De Huanuni (Villa Huanuni),Obras,ANPE,Construccion Enlocetado Zona Locketa,Sin documentacion de cierre,No,2008-11-10,2008-11-03,Elizabeth L. Yugar Mendez (Telf: 5520585),,Oruro,NB-SABS (29190)
08-1406-00-117505-1-1,Gobierno Municipal De Huanuni (Villa Huanuni),Obras,ANPP,Ampliacion Hospital San Martin De Porrez,Sin documentacion de cierre,No,2008-11-10,2008-11-03,Elizabeth L. Yugar Mendez (Telf: 5520585),,Oruro,NB-SABS (29190)
08-1406-00-117506-1-1,Gobierno Municipal De Huanuni (Villa Huanuni),Obras,ANPP,"Enlosetado Calles L. Cabrera Plaza San Pedro, Alvarez Corazón De Jesus Adolfo Mier, Maria Barzola",Sin documentacion de cierre,No,2008-11-10,2008-11-03,Elizabeth L. Yugar Mendez (Telf: 5520585),,Oruro,NB-SABS (29190)
