cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
18-1401-00-1181846-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"Adquisicion De 140 Barras De Tubo Pvc Sdr 41 D=6"" (Saneamiento Basico) Proy: Const. Sist. De Alcantarillado Sanitario J.V. 3 De Mayo Qaqachacas Villa Arenales P - 6040",Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-10-30,Oruro,NB-SABS (D.S.0181)
18-1401-00-1181869-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"168 M3 Gravilla, 126 M3 Arena Lavada, 64 M3 Piedra Bruta, 146 M3 Grava (Const. De Aceras Y Cordones Calle Pagador Entre Catacora Y Lizarraga J.V. Cementerio Alm-P-01650/18",Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-05,Oruro,NB-SABS (D.S.0181)
18-1401-00-1181878-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"104 M3 Gravilla, 92 M3 Arena Lavada, 206 M3 Piedra Bruta (Const. De Graderias J.V. Mirador Alm-P-01646/18",Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-06,Oruro,NB-SABS (D.S.0181)
18-1401-00-1181889-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,623.86 M3 Material Granular Seleccionado (Const. Conformación De Plataforma J.V. San Pedro De Totora) P-6200,Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-06,Oruro,NB-SABS (D.S.0181)
18-1401-00-1181926-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"Adquisición De 442.86 M3 De Material Granular Seleccionado (Servicio De Infraestructura Urbana - Proy. Const. Conformacion De Platafiorma J.V. Villa Esperanza ""A"" Distrito 2) P- 6201",Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-06,Oruro,NB-SABS (D.S.0181)
18-1401-00-1181935-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,Provisión De 81 M3 De Arena Lavada; 110 M3 Gravilla; 271 M3 Relleno Común. (Proy: Const. Aceras Y Cordones J.V. Rosario Integrado. - Calle Sucre Entre Aldana Y Tarapaca) P - 6490,Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-05,Oruro,NB-SABS (D.S.0181)
18-1401-00-1182005-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,Adquisición De 537.34 M3 De Material Granular Seleccionado (Servicio De Infraestructura Urbana - Proy. Const. Conformación De Plataforma J.V. San Geronimo Cala Caja- Distrito 2) P- 6198,Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-06,Oruro,NB-SABS (D.S.0181)
18-1401-00-1182026-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"94 M3 Arena, 61 M3 Grava, 1350 M3 Relleno Granular (Const Aceras Y Cordones J.V. El Paaiso Alm-P-01682/18",Contratado,False,,2021-12-01,Andres Angulo Rocha (Telf: 25251624),2018-11-09,Oruro,NB-SABS (D.S.0181)
20-3701-00-1181377-0-E,Gaioc De Charagua Iyambae,Bienes,CM,Compra De Material De Imprenta De La Ley 1152,Contratado,False,,2021-12-01,Jose Domingo Pedraza Alcantara (Telf: 39542072),2020-04-20,Santa Cruz,NB-SABS (D.S.0181)
21-0006-00-1182105-0-E,Vicepresidencia Del Estado Plurinacional,Consultoria,CM,Consultoria Por Producto De Analisis Estrategico,Contratado,False,,2021-12-01,Rodrigo David Luna Quisbert (Telf: 22142802),2021-10-27,La Paz,NB-SABS (D.S.0181)
