cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
21-0015-01-1173448-1-1,Policia Boliviana,Obras,CM,Refaccion Y Ampliacion De La Cocina Del Comando Departamental De Policia De Santa Cruz,Contratado,False,2021-11-05,2021-11-01,Carlos Quispe Condori (Telf: 2-433211),,La Paz,NB-SABS (D.S.0181)
21-0016-00-1173164-0-E,Ministerio De Educación,Servicios Generales,CD,"Contratacion Del Servicio De Difusion De Publicidad De Spot Y Cuña En Medios De Tv Y Radio ""Ocho Meses De Gestion""",Contratado,False,,2021-11-01,Domy Shirley Chavez Ilimuri (Telf: 2442144   -   2441752),2021-08-02,La Paz,NB-SABS (D.S.0181)
21-0025-00-1173456-0-E,Ministerio De La Presidencia,Consultoria,CM,Consultoria Individual De Linea: Tecnico De Radio Ii Para El Sistema Nacional De Radios De Los Pueblos Originarios,Contratado,False,,2021-11-01,Eleuterio Quispe Mamani (Telf: 2442603),2021-09-28,La Paz,NB-SABS (D.S.0181)
21-0035-01-1170145-0-E,Servicio De Impuestos Nacionales,Servicios Generales,CD,Contratacion Del Medio Televisivo Cadena A Para La Difusion De Pauta Publicitaria Institucional Y/O Tributaria Del Sin  Gestion 2021,Contratado,False,,2021-11-01,Enrique Calle Lopez (Telf: 2606060 - 2606700),2021-09-29,La Paz,NB-SABS (D.S.0181)
21-0046-26-1173290-1-1,Instituto Nacional De Laboratorios De Salud Inlasa,Servicios Generales,CM,Servicio De Reparaciones En Laboratorio De Virología,Contratado,False,2021-11-04,2021-11-01,Luis Mayber Illanes Caqueo (Telf: 2226048),,La Paz,NB-SABS (D.S.0181)
21-0046-26-1173291-1-1,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,CM,Compra De Pijamas Medicas Para El Inlasa,Contratado,False,2021-11-04,2021-11-01,Luis Mayber Illanes Caqueo (Telf: 2226048),,La Paz,NB-SABS (D.S.0181)
21-0046-26-1173296-1-1,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,CM,Compra De Chalecos De Trabajo Para El Inlasa,En curso,False,2021-11-04,2021-11-01,Luis Mayber Illanes Caqueo (Telf: 2226048),,La Paz,NB-SABS (D.S.0181)
21-0046-28-1173282-1-1,Caja De Salud Cordes Cochabamba,Bienes,CM,Adquisicion De Sistema Informatico Para Manejo Y Control De Expedientes Clinicos Y Examenes Complementarios De Fichaje,Cancelado,False,2021-11-05,2021-11-01,Iver Cortez Alanis (Telf: 4532715),,Cochabamba,NB-SABS (D.S.0181)
21-0046-37-1173401-1-1,Agencia Estatal De Medicamentos Y Tecnologias En Salud - Agemed,Bienes,CM,Reactivo Para Cromatografía Liquida De Alta Resolución,Contratado,False,2021-11-05,2021-11-01,Mauricio Huanca Fernandez (Telf: 2440122),,La Paz,NB-SABS (D.S.0181)
21-0047-00-1119912-1-4,Ministerio De Desarrollo Rural Y Tierras,Obras,ANPP,Const. Sistema De Riego Corahuisa - Municipio De Pocoata,Desierto,False,2021-11-16,2021-11-01,Carlos Camilo Calisaya Castillo (Telf: 2111103),2021-11-23,La Paz,NB-SABS (D.S.0181)
21-0047-00-1141210-2-2,Ministerio De Desarrollo Rural Y Tierras,Obras,LP,Construcción Sistema De Riego Villa Carreño Tarata,Anulado desde la convocatoria,False,2021-11-24,2021-11-01,Jhezbel Lima Severich (Telf: 2111103),,La Paz,NB-SABS (D.S.0181)
21-0047-00-1170941-1-2,Ministerio De Desarrollo Rural Y Tierras,Obras,LP,Const. Sistema De Riego En Mekaraya D-6 - Municipio De Independencia,Contratado,False,2021-11-24,2021-11-01,Candy Giovana Alanoca Vicente (Telf: 2111103),2021-12-02,La Paz,NB-SABS (D.S.0181)
21-0047-00-1173433-1-1,Ministerio De Desarrollo Rural Y Tierras,Obras,LP,Construcción Puente Peatonal Rio Chayanta - San Pedro De Buena Vista,Contratado,False,2021-11-24,2021-11-01,Marcelo Lascano Miranda (Telf: 2111103),2021-12-02,La Paz,NB-SABS (D.S.0181)
21-0047-40-1170211-0-E,Entidad Publica Desconcentrada Nuestro Pozo,Obras,CD,Construccion De Tanques De Alamacenamiento Para El Municipio De San Julian - Regional Santa Cruz,Contratado,False,,2021-11-01,Yoseline Teresa Yahuasi Quispe (Telf: 2111103),2021-10-05,La Paz,NB-SABS (D.S.0181)
21-0047-40-1171377-0-E,Entidad Publica Desconcentrada Nuestro Pozo,Obras,CD,Construccion De Casetas De Control Y Cercos De Proteccion En El Municipio De Cuatro Cajadas - Regional Santa Cruz,Contratado,False,,2021-11-01,Yoseline Teresa Yahuasi Quispe (Telf: 2111103),2021-10-05,La Paz,NB-SABS (D.S.0181)
21-0065-00-1173393-0-E,Ministerio De Planificacion Del Desarrollo,Consultoria,OF,Auditoria De Estados Financieros De Propósito Especial Por El Periodo Comprendido Entre El 24 De Marzo De 2016 Y El 31 De Octubre De 2020,Contratado,False,,2021-11-01,Patricia Cinthia Valencia Antezana (Telf: 50850019),2021-09-01,La Paz,Normativa del Financiador
21-0078-15-1173330-0-E,Entidad Ejecutora De Conversion A Gas Natural Vehicular - Eec-Gnv,Consultoria,CM,"Consultoria Individual De Linea ""Profesional De Control Y Seguimiento De Programas Regional Santa Cruz""",Contratado,False,,2021-11-01,Valeria Pary Alave (Telf: 2146398 - 2146378),2021-09-28,La Paz,NB-SABS (D.S.0181)
21-0086-12-1163700-2-2,Programa Piloto De Resiliencia Climatica - Ppcr,Bienes,LP,"Adquisicion Excavadora A Oruga Para El Proyecto: Construccion De Medidas Estructurales Resilientes En La Cuenca Del Rio Cesarzama, Tramo Morochata - Cesarzama Uh Rio Chimore 46666",Anulado desde la convocatoria,False,2021-11-23,2021-11-01,Odilia Flores Reyes (Telf: 2124743),2021-11-29,La Paz,NB-SABS (D.S.0181)
21-0140-00-1173364-1-1,Universidad Publica De El Alto Upea,Obras,LP,Construcción Edificio Centro De Desarrollo Tecnológico - Upea Segunda Fase,Contratado,False,2021-11-23,2021-11-01,Martin Cutipa Mamani (Telf: 2-844233),2021-11-30,La Paz,NB-SABS (D.S.0181)
21-0140-00-1173377-1-1,Universidad Publica De El Alto Upea,Obras,LP,Construccion Edificio Area Ciencias De La Educacion-Fase Ii,Contratado,False,2021-11-23,2021-11-01,Juan Cabezas Lovera (Telf: 2-844233),2021-12-03,La Paz,NB-SABS (D.S.0181)
21-0140-00-1173406-1-1,Universidad Publica De El Alto Upea,Obras,LP,Construcción Edificio Carrera De Odontología Upea Área Salud - Fase Iii,Contratado,False,2021-11-23,2021-11-01,Martin Cutipa Mamani (Telf: 2-844233),2021-12-01,La Paz,NB-SABS (D.S.0181)
21-0140-00-1173424-1-1,Universidad Publica De El Alto Upea,Obras,LP,Construccion Consultorios Comunitarios Area Ciencias Sociales-Fase Iii,Contratado,False,2021-11-23,2021-11-01,Juan Cabezas Lovera (Telf: 2-844233),2021-12-06,La Paz,NB-SABS (D.S.0181)
21-0141-00-1173395-1-1,Universidad Mayor De San Simon Umss,Bienes,CM,Adquisición De Un Drone Para La Escuela Forestal Esfor-Umss,Contratado,False,2021-11-08,2021-11-01,Andres Sergio Claure Cruz (Telf: 4524773),,Cochabamba,NB-SABS (D.S.0181)
21-0143-00-1173304-1-1,Universidad Autonoma Tomas Frias,Bienes,CM,115 (Ciento Quince) Pieza  De Calamina Galvanizada Trapezoidal Nro 28 De 090m X 3.00mn31 (Trenta Y Uno)  Pieza  De  Calamina Galvanuizada Trapezoidal Nro 28 De 0.90m X 4.50m,Contratado,False,2021-11-04,2021-11-01,Ingrith Marquez Eguivar (Telf: 62-27332),,Potosi,NB-SABS (D.S.0181)
21-0190-00-1173332-1-1,Autoridad Jurisdiccional Administrativa Minera,Servicios Generales,LP,"Seguro Multiriesgo, Responsabilidad Civil, Accidentes Personales, Automotores Y Otros Para La Autoridad Jurisdiccional Administrativa Minera Gestion 2022",Adjudicado,False,2021-11-23,2021-11-01,Jorge Eduardo Saenz Loza (Telf: 2310441),2021-11-29,La Paz,NB-SABS (D.S.0181)
21-0222-00-1173384-1-1,Instituto Nacional De Innovación Agropecuaria Y Forestal - Iniaf,Obras,OF,?Construcción Y Equipamiento De Un Centro De Innovación Con Dos Áreas De Trabajo (Cacao Cultivado Y Nativo) ? Baures- Beni?                                                                            Modalidad Llave En Mano,Cancelado,False,2021-11-23,2021-11-01,Jaqueline Fidelia Apaza Nina (Telf:  2 2124411 - 2 2128284),2021-11-26,La Paz,Otra Normativa especifica nacional
21-0283-00-1172047-0-E,Aduana Nacional,Servicios Generales,CD,Contratacion Del Servicio De Difusion Publicitaria De La Aduana Nacional En Medios De Comunicacion Televisivo Ii,Contratado,False,,2021-11-01,Claudia Dayana Villarroel Zeballos (Telf: 2128008),2021-10-01,La Paz,NB-SABS (D.S.0181)
21-0283-02-1172279-1-1,Aduana Nacional Regional La Paz,Bienes,ANPE,"Adquisicion De Repuestos Para Impresoras, Escaner, Cpu, Ups Y Material Cableado Estructurado",Anulado desde la convocatoria,True,2021-11-08,2021-11-01,Graciela Gutierrez Mamani (Telf: 2818358),2021-11-10,La Paz,NB-SABS (D.S.0181)
21-0283-04-1173388-1-1,Gerencia Regional Potosi - Aduana Nacional De Bolivia,Servicios Generales,CM,Contratación Del Servicio De Mantenimiento De Los Puntos De Inspección Aduanero En Cuartos Y Penitencia (Pías) De La Localidad De Villazón,Contratado,False,2021-11-04,2021-11-01,Lidia Veliz Siguairo (Telf: 6231644 - 6231655),,Potosi,NB-SABS (D.S.0181)
21-0283-15-1165806-1-2,Aduana Nacional Regional Tarija,Bienes,ANPE,Adquisición De Llantas Para Vehículos De La Gerencia Regional Tarija Y Sus Dependencias Gestión 2021,Contratado,True,2021-11-09,2021-11-01,Glenda Miroslava Balladares Rocha (Telf: 6648600  ),2021-11-15,Tarija,NB-SABS (D.S.0181)
