cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,subasta,fecha_presentacion,fecha_publicacion,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
14-0015-00-526371-1-1,Ministerio De Gobierno,Consultoria,OF,Expresiones De Interes Para El Desarrollo De Nuevos Requerimientos De Los Sistemas De Georeferenciacion Del Observatorio Nacional De Seguridad Ciudadana,Contratado,False,2014-12-19,2014-12-01,Humberto Echalar Flores (Telf: 2440466),2015-07-02,La Paz,Normativa del Financiador (BID)
14-0015-00-526406-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,Servicio De Impresión Material Valorado Y No Valorado  Para La Direccion General De Recaudaciones,Contratado,False,2014-12-05,2014-12-01,Enrique Thompson Camacho (Telf: 2440466),2014-12-10,La Paz,NB-SABS (D.S.0181)
14-0015-00-526534-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,"Recurrente 2015: Servicio De Fotocopias Y Anillados Para Las Direcciones Distritales De Migracion, Recaudaciones Y Regimen Penitenciario - Cochabamba",No Informado,False,2014-12-08,2014-12-01,Benjamin Polio Colque Conde (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
14-0015-00-526539-1-1,Ministerio De Gobierno,Servicios Generales,ANPE,"Recurrente 2015: Servicio De Fotocopias Y Anillados Para Las Direcciones Distritales De Migracion, Recaudaciones, Regimen Penitenciario Y Administracion  Santa Cruz",No Informado,False,2014-12-08,2014-12-01,Benjamin Polio Colque Conde (Telf: 2440466),,La Paz,NB-SABS (D.S.0181)
14-0015-00-535063-0-E,Ministerio De Gobierno,Servicios Generales,CM,Servicio Para Evento Taller De Capacitacion Para Las Distritales Dircabi,Contratado,False,,2014-12-01,Benjamin Polio Colque Conde (Telf: 2440466),2014-12-01,La Paz,NB-SABS (D.S.0181)
14-0015-05-526248-1-1,Direccion Nacional De Instruccion Y Ensenanza -  Policia Nacional,Bienes,ANPE,Menaje Y Utensilios De Cocina Para Las Unidades De Pregrado De La Unipol,Contratado,False,2014-12-05,2014-12-01,Freddy Martin Iporre Ferrufino (Telf: 2228291),2014-12-09,La Paz,NB-SABS (D.S.0181)
14-0015-05-526541-1-1,Direccion Nacional De Instruccion Y Ensenanza -  Policia Nacional,Bienes,ANPE,500 Pupitres Unipersonales,Contratado,False,2014-12-05,2014-12-01,Freddy Martin Iporre Ferrufino (Telf: 2228291),2014-12-09,La Paz,NB-SABS (D.S.0181)
14-0015-22-525828-1-1,Unidad Ejecutora De Lucha Integral Contra El Narcotráfico,Servicios Generales,ANPE,Servicio De Limpieza  Hangares Y Oficinas De La Fta Diablos Negros Gestión 2015,Contratado,False,2014-12-08,2014-12-01,Freddy Oscar Cutili Chuquimia (Telf: 2113837 - 2115294),2014-12-15,La Paz,NB-SABS (D.S.0181)
14-0015-22-526472-1-1,Unidad Ejecutora De Lucha Integral Contra El Narcotráfico,Servicios Generales,ANPP,"Servicio De Tornería Y Soldadura De Alto Relieve Para La Fte ""Diablos Verdes"", Gestión 2015",Contratado,False,2014-12-11,2014-12-01,Freddy Oscar Cutili Chuquimia (Telf: 2113837 - 2115294),2014-12-22,La Paz,NB-SABS (D.S.0181)
14-0015-22-526502-1-1,Unidad Ejecutora De Lucha Integral Contra El Narcotráfico,Servicios Generales,ANPP,"Servicio De Reparación Y Chequeo De Bombas Inyectoras Para La Fte ""Diablos Verdes"", Gestión 2015",Contratado,False,2014-12-11,2014-12-01,Freddy Oscar Cutili Chuquimia (Telf: 2113837 - 2115294),2015-01-09,La Paz,NB-SABS (D.S.0181)
14-0015-22-529602-0-E,Unidad Ejecutora De Lucha Integral Contra El Narcotráfico,Bienes muebles y de consumo,CM,Adquisicion De Aceite Y Aceite Diesel Para Motores De La Fuerza De Tarea Especial Diablos Azules,Contratado,False,,2014-12-01,Margot Cazon Cuenca (Telf: 2113837 - 2115294),2014-12-01,La Paz,NB-SABS (D.S.0181)
14-0016-00-526512-1-1,Ministerio De Educacion,Bienes,ANPE,Adquisición De Flash (Pendrive De 8 Gb) Para El 4to Encuentro Pedagogio Plurinacional,Contratado,False,2014-12-05,2014-12-01,Alfonso Serafin Fernandez Flores (Telf: 2441752-2443865),2014-12-05,La Paz,NB-SABS (D.S.0181)
14-0016-00-526542-1-1,Ministerio De Educacion,Servicios Generales,ANPE,Adquisición De Maletines Para El 4to. Encuentro Pedagógico Plurinacional,Anulado desde la convocatoria,False,2014-12-05,2014-12-01,Carlos Alberto Zeballos Abrego (Telf: 2441752-2443865),2014-12-09,La Paz,NB-SABS (D.S.0181)
14-0025-00-526208-1-1,Ministerio De La Presidencia,Servicios Generales,ANPE,Impresión De Tarjetas Navideñas Protocolares,Anulado desde la convocatoria,False,2014-12-05,2014-12-01,Jose Ricardo Davila Vargas (Telf: 2442603),2014-12-05,La Paz,NB-SABS (D.S.0181)
14-0025-19-535879-0-E,Unidad De Proyectos Especiales - Upre - Ministerio De La Presidencia,Bienes muebles y de consumo,CD,"Adquisicion De Equipos, Productos De Plastico, Medicamentos, Desinfectante Y Vitaminas Para La Fase Ii Del Proyecto: Modulo De Produccion Avicola Para El Cabildo Indigena Comunidad Puente San Pablo",Contratado,False,,2014-12-01,Godofredo Quispe Flores (Telf: 2146146),2014-12-01,La Paz,Programa Bolivia Cambia (D.S.0913)
14-0030-00-530202-0-E,Ministerio De Justicia,Servicios Generales,CM,Contratacion Directa De Un Medio De Comunicacion Para Difusion De Dos Cuñas Radiales En Castellano Y Quechua,Contratado,False,,2014-12-01,Daynor Maceda Puma (Telf: 2313838 - 2158900),2014-12-01,La Paz,NB-SABS (D.S.0181)
14-0035-00-531918-0-E,Ministerio De Economia Y Finanzas Publicas ,Servicios Generales,CM,Servicio De Impresión De Calendarios 2015,Contratado,False,,2014-12-01,Ana Erika Suxo Mendez (Telf: 2203434),2014-12-01,La Paz,NB-SABS (D.S.0181)
